,Period,Time,Fx,Fy,Fz,Mx,My,Mz
62,21.0,21.64314317703247,-40.74104058497289,-55.43751340294475,-621.029639058394,-834.9582510373614,93.0089964736582,221.23683518823088
63,22.0,22.155794143676758,-49.370215738750666,-62.8859047682676,-650.0300221608661,-718.4078465949417,-38.55525396674868,231.3210847953898
64,23.0,22.668418645858765,-46.81992237401096,-59.03152693540248,-625.7260481922962,-773.2471558673753,15.995297034357272,300.2844625346215
65,24.0,23.19304072856903,-41.75337269605869,-59.865738564846815,-613.8660989568054,-690.6779828815761,-29.367320320160182,307.66375546195457
66,25.0,23.704060196876526,-43.310095277724265,-63.41569231408604,-621.6171311154596,-667.002238139421,-45.981638509210356,286.69652728372307
67,26.0,24.202580213546753,-43.280511943345225,-65.89226446301821,-615.6022711658361,-602.7414956335552,-11.476460206308886,314.2324618727503
68,27.0,24.701154470443726,-44.37554774077078,-67.98629485337672,-620.5369591553583,-602.5373211992016,-17.64740627003717,306.8271457047469
69,28.0,25.199462056159973,-46.695751615610696,-64.95758994754412,-621.6981013147298,-717.3692931021036,-68.04583410686891,296.77326867105586
70,29.0,25.704877376556396,-43.180985867913485,-64.1550903309041,-605.1764647397451,-735.9465718644791,29.524680503451872,289.1819548715452
71,3.0,11.130068063735962,-49.09620219649586,-32.356034203554486,-665.1432338409187,-1270.5271190792193,-82.36167722117705,149.75746825990532
72,30.0,26.19800293445587,-49.45782107512208,-70.49783698991715,-628.3763197756821,-644.9639924752718,-160.3785483115663,247.37026843383734
73,31.0,26.671953320503235,-45.48099515521126,-74.73530930291705,-622.5613884922439,-488.767939792136,-174.60675450694274,278.9807168869158
74,32.0,27.156086564064026,-44.70114644935245,-71.20898346214031,-603.5227159419567,-600.8754415028666,-203.4290491321006,281.9767501882575
75,33.0,27.640796899795532,-48.8923424394818,-75.76837651473687,-617.614291036465,-576.789655508867,-282.6119571020216,286.413799741062
76,34.0,28.114784002304077,-44.54349979525882,-72.67489468087255,-617.8434376430214,-598.1401770221319,-222.88300334452504,296.8238898343636
77,35.0,28.601412296295166,-40.303834025612076,-71.84941924590326,-597.5653978088943,-530.5819608550645,-159.5310710513538,349.849665575022
78,36.0,29.088441014289856,-49.03560257318575,-80.14748520915896,-613.5524091732831,-444.845558294257,-157.15870228998872,277.3152520216683
79,37.0,29.55037558078766,-48.27467712732761,-84.0846954212893,-617.5832190782055,-259.96191322449613,-234.22948904036252,159.8833448074292
